10, 4, 2, 8, 7, 0, 1, 9, 6, 5, 11, 3
11, 9, 10, 3, 7, 2, 6, 8, 5, 4, 0, 1
1, 4, 11, 0, 9, 8, 3, 5, 10, 7, 2, 6
11, 9, 5, 0, 6, 4, 1, 10, 7, 3, 2, 8
3, 11, 8, 9, 6, 2, 10, 0, 1, 5, 4, 7
0, 2, 7, 11, 5, 4, 8, 3, 1, 10, 9, 6
8, 11, 7, 0, 6, 1, 9, 5, 4, 3, 2, 10
6, 11, 5, 1, 2, 8, 7, 9, 10, 4, 0, 3
4, 10, 11, 7, 5, 1, 3, 6, 9, 8, 0, 2
3, 11, 0, 1, 5, 9, 8, 7, 10, 2, 4, 6
9, 1, 11, 2, 3, 6, 5, 10, 0, 7, 4, 8
8, 11, 0, 4, 10, 9, 7, 1, 3, 6, 2, 5
1, 9, 11, 0, 10, 3, 2, 7, 4, 6, 8, 5
6, 11, 2, 5, 10, 4, 9, 1, 3, 7, 8, 0
1, 6, 8, 9, 3, 11, 10, 2, 4, 7, 5, 0
5, 3, 1, 8, 7, 10, 9, 11, 4, 2, 6, 0
6, 3, 9, 11, 0, 8, 10, 1, 5, 2, 4, 7
9, 5, 3, 11, 10, 4, 7, 8, 2, 6, 1, 0
9, 0, 11, 10, 5, 6, 3, 8, 7, 1, 4, 2
0, 9, 4, 11, 1, 2, 3, 8, 5, 7, 10, 6
3, 11, 10, 0, 8, 5, 7, 4, 2, 1, 9, 6
10, 3, 5, 8, 0, 6, 7, 11, 9, 2, 1, 4
3, 2, 7, 1, 11, 5, 6, 0, 10, 4, 8, 9
2, 1, 9, 7, 3, 10, 4, 5, 0, 6, 11, 8
0, 4, 11, 5, 10, 1, 3, 8, 7, 6, 9, 2
